title,id,content,time
['德化工行业2013年寄希望于中国市场'],e7ad31be-9e92-11e8-9960-000c29c468ed,['\u3000\u3000德国《世界报》12月31日报道，尽管欧债危机持续发酵，但德国化工行业预期会在明年有小幅增长。德国莱法州化工协会总干事长福格勒（Bernd Vogler）对德新社表示：“预期增长势头不会太大”，化工生产增幅或为1.5%，“虽然增幅不大，但总归是增长，而不是衰退”。他还说，德国化工行业来自德国本土和欧盟需求依旧虚弱，实现增长要靠来自美国、南美、亚洲，尤其是中国的动力支撑。'],"['\r\n   \r\n   ', '2013-1-5']"
['伊朗明年将向伊拉克出口天然气'],e8a54200-9e92-11e8-9960-000c29c468ed,"['\u3000\u3000据伊朗《PressTV》12月25日德黑兰报道，伊朗石油部副部长兼伊朗国家天然气公司总经理贾瓦德·奥吉周二在德黑兰接受媒体记者采访时表示，伊朗将在2013年开始向伊拉克出口天然气。', '\u3000\u3000奥吉说，一旦两国政府之间达成天然气供应合同，伊朗将在合同规定的时间框架内每天向伊拉克出口2000万至2500万立方米天然气。', '\u3000\u3000伊朗的南帕尔斯气田（SP气田）--与卡塔尔共同拥有的一个更大气田的一部分--将分成24个阶段来开发，伊朗SP气田拥有大约14万亿立方米天然气储量，约占全球天然气总储量的8%。此外，SP气田还拥有180亿桶凝析油储量。', '\u3000\u3000拥有仅次于俄罗斯的世界第2大天然气储量的伊朗一直在设法通过增加国外和国内投资，尤其是增加SP气田的投资来提高本国的天然气产量。']","['\r\n   \r\n   ', '2012-12-27']"
['巴伊天然气管道项目将在2014年底前完成'],e8a54201-9e92-11e8-9960-000c29c468ed,"['\u3000\u3000据巴基斯坦国际新闻社12月21日伊斯兰堡报道，巴基斯坦政府总理的石油和自然资源顾问阿西姆·侯赛因博士12月20日在伊斯兰堡表示，巴基斯坦——伊朗天然气管道项目将在2014年年底前完成。', '\u3000\u3000侯赛因是在议会大楼外接受巴基斯坦国际新闻社记者采访时发表上述讲话的。他说，经济协调委员会（ECC）日前成立了一个委员会来处理压缩天然气（CNG）的问题。ECC不久将对CNG价格作出最后决定。']","['\r\n   \r\n   ', '2012-12-24']"
['沙特与韩国加强石油合作'],eb5713f2-9e92-11e8-9960-000c29c468ed,"['\u3000\u3000沙特石油大臣纳伊米日前在韩国访问期间表示，韩国是世界上进口沙特原油最多的国家之一，日进口沙特原油超过80万桶，约占其海外原油进口量的30%，进口量排在美国、中国之后位列第三。', '\u3000\u3000沙特阿美石油公司在韩国投资设立石油化工公司，阿美公司占股35%，该炼厂炼油能力67万桶/日，原料采用沙特原油，生产多种石油产品以及芳烃类化工产品，该公司在韩国全国设有加油站，还对外出口部分产品。纳伊米高度评价沙韩双边关系，称两国经贸投资合作关系发展迅速，韩国是沙特最重要的贸易伙伴之一，两国在各领域的都有投资合作，韩国公司还在沙特承建了许多建筑项目。']","['\r\n   \r\n   ', '2012-12-20']"
['明年德国化学品产量将小幅反弹'],ec96a62e-9e92-11e8-9960-000c29c468ed,"['\u3000\u3000德国化学工业协会（VCI）近日预测，2013年德国化学品产量（不包括药品，下同）将增加1％左右，化工行业的销售额将增加1.5％，预计明年化学品销售价格将上升0.5％。', '\u3000\u3000与此同时，VCI重申其早前预测的今年德国化学品产量将较2011年下降3％，今年德国化工行业销售收入预计为1842亿欧元，销售价格或上涨2.5％。今年德国的化学品出口额将增长5％，达到1609亿欧元（约合2104亿美元）；进口增长2％，至1135亿欧元。']","['\r\n   \r\n   ', '2012-12-18']"
['美国10月丁二烯出口量激增'],edfbfc9e-9e92-11e8-9960-000c29c468ed,"['\u3000\u3000美国国际贸易委员会周三公布的数据显示，美国10月丁二烯出口量较去年同期大幅上涨。', '\u3000\u3000今年10月美国共出口丁二烯5,155吨，而去年同期的出口量仅为2,514吨。墨西哥为美国丁二烯唯一的出口目的地。今年1-10月，美国共出口丁二烯55,094吨，较去年同期上涨8.2%。', '\u3000\u300010月丁二烯进口量为48,852吨，同比上涨15%。伊拉克，科威特和委内瑞拉为美国主要丁二烯进口来源国。今年1-10月，美国共进口丁二烯496,038吨，同比下跌22%。', '\u3000\u3000美国丁二烯生产商包括口埃克森美孚，英力士烯烃和聚合物，利安德巴塞尔，萨拜娜石化，壳牌化学及TPCGroup。', '\xa0', '\u3000\u3000了解更多安迅思化工资讯，请浏览安迅思化工网页：', '\u3000\u3000http://www.icis-china.com/Chemease/information/Default.aspx']","['\r\n   \r\n   ', '2012-12-15']"
['美俄将对亚太输出廉价LNG'],ef1175dc-9e92-11e8-9960-000c29c468ed,"['\u3000\u3000近日，由俄罗斯天然气工业公司租赁的液化天然气（LNG）油轮“鄂毕河”号抵达日本，成功完成世界首次北极航线液化天然气运输。美国能源部近日也决定解禁此前冻结的15个天然气出口项目，有望向日本出口更便宜的天然气。在业内看来，此举将导致亚太LNG价格未来长期维持低位，对国内方兴未艾的“油改气”大局将是重大推动。', '\u3000\u3000亚太地区一直是国际LNG市场的价格高地，也因此备受各天然气资源国的关注。就在上周，美国能源部发布报告称，出口天然气对美国经济来说利大于弊，原因是出口天然气带来的收益将弥补因天然气价格低迷给美国经济带来的损失。据此，美国能源部将重新审批此前冻结的天然气出口项目。', '\u3000\u3000而俄罗斯刚刚开辟了向亚太的LNG运输新航线，加上必和必拓昨天又宣布中石油将以102亿元现金收购其澳洲LNG项目股份，这意味着亚太LNG市场将出现前所未有的供应充分格局。长期来看，廉价LNG的到来将平抑持续高企的亚太LNG市价，对中国这样的需求国来说十分有利。', '\u3000\u3000数据显示，10月日本进口LNG的平均价为每100万英热单位（BTU）15.4美元，而美国国内天然气单位价格为3至4美元，加上液化、运输成本的LNG进口价也只要10美元。', '\u3000\u3000另一方面，未来LNG价格若能维持低位，对“油改气”推广及LNG设备厂商都将是重大利好。此前在公路交通、内河航运推行的“油改气”都是基于LNG与汽柴油存在价差。如果这种价差进一步拉大，则势必刺激更多运输企业、汽车厂商使用、生产LNG车船，并拉动LNG设备的需求。', '\u3000\u3000此前，分析师普遍认为，LNG价格走高是LNG设备企业未来最大的风险。', '\u3000\u3000在近期的一次机构调研中，LNG设备龙头企业富瑞特装预计，LNG气瓶今年销量可达2.5至2.6万只，预计确认收入约2.2至2.3万只，合计收入约5.5亿元。目前公司气瓶仍供不应求。预计年底气瓶的产能达3万只，明年5月份新增产能2万只，合计产能明年扩产至5万只。', '\u3000\u3000此外，公司以前的重点客户陕汽车用LNG气瓶也已重新回归富瑞特装，主因是竞争对手圣汇公司的产品质量问题迫使陕汽不得不重新使用富瑞特装产品。', '\u3000\u3000不仅如此，在LNG加气站方面，三大油企计划在“十二五”期间建设5000个加气站，目前仅落成500个左右。国家近期也明确表示要完成“十二五”目标，中石油则明显加快了建设进度。这对储罐等LNG设备也会带来巨大的需求。']","['\r\n   \r\n   ', '2012-12-13']"
['俄石油公司和埃克森美孚拟共同开发西西伯利亚地区油田'],f0cf61b8-9e92-11e8-9960-000c29c468ed,['\u3000\u3000据12月7日俄商业资讯网报道，日前俄石油公司和埃克森美孚公司签署合作协议，拟共同开发西西伯利亚地区的两块油田。根据协议，双方将成立合资公司（俄方控股51%），联合开发俄石油公司拥有的面积超过1万平方公里的23块小型油田。埃克森美孚公司拟提供融资3亿美元，用于前期勘探、钻井、商业评估等前期工作，预计此项工作将于2015年前完成，而后双方将开展实质性合作。'],['2012-12-11']
['美国对中国产硅砖发起反倾销调查'],f229bb94-9e92-11e8-9960-000c29c468ed,"['\u3000\u3000美国商务部６日宣布，对从中国进口的硅砖产品发起反倾销调查。', '\u3000\u3000美国商务部说，发起这项调查是应犹他州耐火材料公司的请求。后者声称中国输美的此类产品存在倾销行为，幅度为１１８．４７％至２９０．１２％。调查涉及的产品为二氧化硅含量在９０％以上的硅砖产品。', '\u3000\u3000根据美方程序，美国国际贸易委员会定于１２月３１日左右对该调查作出初裁，如果该机构认定从中国进口的此类产品给美国相关产业造成实质性损害或威胁，美国商务部将继续实施反倾销调查，并定于２０１３年４月份作出初裁。', '\u3000\u3000硅砖是酸性耐火材料，主要用于炼焦炉、炼铁热风炉及玻璃熔窑等。美国商务部的数据显示，２０１１年美国从中国进口的硅砖产品总价值约为４３２０万美元。', '\u3000\u3000这是美国对中国发起的最新一起贸易救济行动。今年美国连续对中国产品发起“双反”和“３３７调查”，频率相当罕见，贸易保护主义明显升温。中国商务部多次表示，希望美国政府恪守反对贸易保护主义承诺，共同维护自由、开放、公正的国际贸易环境，以更加理性的方法妥善处理贸易摩擦。']",['2012-12-7']
['巴布亚新几内亚天然气项目成本增加'],f3a8b984-9e92-11e8-9960-000c29c468ed,"['\u3000\u3000全球最大的上市石油公司埃克森美孚公司近日表示，巴布亚新几内亚巨大天然气出口项目的建设成本已从先前估计的157亿美元增加至190亿美元。据称，汇率波动导致成本增加14亿美元，而工人停工以及征地相关问题导致的工期延迟使成本增加12亿美元。另外7亿美元的增加来自于不利的物流和天气，包括降雨量高于正常年份。', '\u3000\u3000埃克森美孚表示，该液化天然气（LNG）装置的设计年产能已从先前的660万吨提高至690万吨。这是该合资项目第二次宣布成本增加。该项目的主要股东为埃克森美孚、澳大利亚石油搜寻公司以及桑托斯公司。埃克森美孚表示，该项目的首批LNG船货仍将在2014年交付亚洲客户。']",['2012-12-5']
