content,time,id,title
"['\r\n\t\u3000\u3000海关总署5月8日发布的数据显示，今年前4个月，我国货物贸易进出口总值9.11万亿元人民币，比去年同期(下同)增长8.9%。其中，出口4.81万亿元，增长6.4%;进口4.3万亿元，增长11.7%;贸易顺差5062.4亿元，收窄24.1%。\r\n', '\r\n\t\u3000\u30004月份，我国进出口总值2.36万亿元，增长7.2%。其中，出口1.27万亿元，增长3.7%;进口1.09万亿元，增长11.6%;贸易顺差1828亿元，收窄27%。\r\n', '\r\n\t\u3000\u3000一般贸易快速增长且比重提升。前4个月，我国一般贸易进出口5.34万亿元，增长12.8%，占我外贸总值的58.6%，比去年同期提升2个百分点。其中，出口2.71万亿元，增长12.1%;进口2.63万亿元，增长13.5%;贸易顺差801.6亿元，收窄20.2%。同期，加工贸易进出口2.44万亿元，增长2%，占26.8%，下滑1.8个百分点。其中，出口1.54万亿元，增长0.5%;进口9042.9亿元，增长4.6%;贸易顺差6340.4亿元，收窄4.8%。\r\n', '\r\n\t\u3000\u3000对欧盟、美国、东盟和日本等主要市场进出口均增长，对“一带一路”沿线国家进出口增速高于整体。前4个月，中欧贸易总值1.34万亿元，增长8.3%，占我外贸总值的14.7%。中美贸易总值为1.24万亿元，增长5.9%，占我外贸总值的13.6%。前4个月，我与东盟贸易总值为1.17万亿元，增长12.6%，占我外贸总值的12.9%。中日贸易总值为6641.3亿元，增长3.8%，占我外贸总值的7.3%。同期，我国对“一带一路”沿线国家合计进出口2.51万亿元，增长11.6%，高于整体增速2.7个百分点。\r\n', '\r\n\t\u3000\u3000民营企业所占比重进一步提升。前4个月，民营企业进出口3.52万亿元，增长12.4%，占我外贸总值的38.6%，比去年同期提升1.2个百分点。其中，出口2.26万亿元，增长9.6%，占出口总值的46.9%;进口1.26万亿元，增长17.6%，占进口总值的29.3%。同期，外商投资企业进出口3.91万亿元，增长4.6%，占我外贸总值的42.9%。其中，出口2.03万亿元，增长2.9%;进口1.88万亿元，增长6.6%。此外，国有企业进出口1.65万亿元，增长12.2%，占我外贸总值的18.1%。其中，出口5219.2亿元，增长8%;进口1.13万亿元，增长14.3%。\r\n', '\r\n\t\u3000\u3000机电产品出口增长，传统劳动密集型产品出口下降。前4个月，我国机电产品出口2.84万亿元，增长8.7%，占出口总值的59.1%。其中，电器及电子产品出口1.27万亿元，增长9.9%;机械设备8579.3亿元，增长11.3%。同期，服装出口2749.2亿元，下降7.5%;纺织品2346.6亿元，增长4.2%;家具1062亿元，下降0.7%;鞋类924.9亿元，下降9.5%;塑料制品818.2亿元，增长4%;箱包506.7亿元，下降6%;玩具399.6亿元，增长4.5%;上述7大类劳动密集型产品合计出口8807.2亿元，下降2.4%，占出口总值的18.3%。此外，钢材出口2162万吨，减少20.1%;汽车34万辆，增加29.4%。\r\n', '\r\n\t\u3000\u3000铁矿砂、原油和铜等商品进口量增加，大豆进口量减少，大宗商品进口均价涨跌互现。前4个月，我国进口铁矿砂3.53亿吨，增加0.2%，进口均价为每吨463.1元，下跌17.1%;原油1.51亿吨，增加8.9%，进口均价为每吨3058.5元，上涨13.4%;煤9768万吨，增加9.3%，进口均价为每吨547.3元，下跌11.3%;大豆2649万吨，减少3.8%，进口均价为每吨2723.8元，下跌8%;成品油1125万吨，增加10.6%，进口均价为每吨3583.3元，上涨8.6%;初级形状的塑料1022万吨，增加7.4%，进口均价为每吨1.12万元，下跌1.9%;钢材450万吨，减少1.3%，进口均价为每吨8036.3元，上涨11%;未锻轧铜及铜材167万吨，增加15.4%，进口均价为每吨4.8万元，上涨10%。此外，机电产品进口1.91万亿元，增长15%;其中汽车37万辆，增加2.1%。\r\n']","['\r\n   \r\n   ', '2018-5-15']",6d5d67d6-9c4d-11e8-9260-000c29c468ed,['前4个月我国原油进口1.51亿吨 增长8.9%']
"['\r\n\t\u3000\u3000国家能源局3月7日发布的《2018年能源工作指导意见》(下称《意见》)提出，2018年全国能源生产总量36.6亿吨标准煤左右。非化石能源发电装机达到7.4亿千瓦左右、发电量达到2万亿千瓦时左右。\r\n', '\r\n\t\u3000\u3000《意见》明确，壮大清洁能源产业。统筹优化水电开发利用。坚持生态保护优先，妥善解决移民安置问题，有序推进金沙江、雅砻江、大渡河、黄河上游等水电基地建设，控制中小水电开发。加快雅砻江两河口、大渡河双江口等龙头水库电站建设，积极推进金沙江中游龙盘水电综合枢纽工程前期工作，提高流域梯级水电站调节能力。完善流域综合监测平台建设，加强水电流域综合管理。以四川、云南和周边省区为重点，实施跨流域跨区域的统筹优化调度和水电丰枯调节，有效缓解弃水问题。\r\n', '\r\n\t\u3000\u3000稳妥推进核电发展。落实“核电安全管理提升年”专项行动要求，进一步提升核电安全管理水平，确保在运核电机组安全稳定运行，在建核电工程安全质量可控。在充分论证评估的基础上，开工建设一批沿海地区先进三代压水堆核电项目。进一步完善核电项目开发管理制度，做好核电厂址资源保护工作。继续推动解决部分地区核电限发问题，促进核电多发满发。继续实施核电科技重大专项，建设核电技术装备试验平台共享体系，加快推进小型堆重大专项立项工作，积极推动核能综合利用。\r\n', '\r\n\t\u3000\u3000稳步发展风电和太阳能发电。强化风电、光伏发电投资监测预警机制，控制弃风、弃光严重地区新建规模，确保风电、光伏发电弃电量和弃电率实现“双降”。有序建设重点风电基地项目，推动分散式风电、低风速风电、海上风电项目建设。积极推进风电平价上网示范项目建设，研究制定风电平价上网路线图。健全市场机制，继续实施和优化完善光伏领跑者计划，启动光伏发电平价上网示范和实证平台建设工作。稳步推进太阳能热发电示范项目建设。\r\n', '\r\n\t\u3000\u3000积极发展生物质能等新能源。因地制宜，积极推广生物质能、地热能供暖。推进城镇生活垃圾、农村林业废弃物、工业有机废水等城乡废弃物能源化利用。加强垃圾焚烧发电项目运行及污染物排放监测，定期公布监测报告。开展垃圾焚烧发电领跑者示范项目建设，推动垃圾焚烧发电清洁绿色发展。组织开展海洋能调查研究，适时启动示范项目建设。\r\n', '\r\n\t\u3000\u3000大力推广成熟先进节能减排技术应用，加快西部地区煤电机组超低排放改造，中部地区具备条件的煤电机组基本完成超低排放改造，促进煤电清洁高效发展。2018年全国燃煤电厂平均供电煤耗同比减少1克左右。\r\n', '\r\n\t\u3000\u3000在煤电去产能方面，《意见》提出，推动化解煤电过剩产能。坚持市场化手段和政府调控并举，充分发挥煤电规划建设预警机制的作用，从严控制新增规模，清理整顿违规项目，继续加快淘汰落后产能，促进煤电转型升级和结构优化。建立健全目标分解和责任落实机制，强化事中事后监管和督查问责。加强化解煤电过剩产能与电力供应保障的统筹，科学规划电源规模、布局和建设时序。加强需求侧管理，合理安排运行方式，有效化解区域性、时段性电力供应紧张矛盾，保障电力可靠供应和系统安全稳定运行，实现电力供需动态平衡。\r\n', '\r\n\t\u3000\u3000与此同时，着力解决清洁能源消纳问题。认真落实《解决弃水弃风弃光问题实施方案》，多渠道拓展可再生能源电力消纳能力。完善可再生能源开发利用目标监测评价制度，推动实行可再生能源电力配额制，落实可再生能源优先发电制度，推进可再生能源电力参与市场化交易，建立可再生能源电力消纳激励机制，做好可再生能源消纳与节能减排、能源消费总量控制等考核政策的衔接。优化可再生能源电力发展布局，优先发展分散式风电和分布式光伏发电，鼓励可再生能源就近开发利用。完善跨省跨区可再生能源电力调度技术支持体系，优化电网调度运行，提升可再生能源电力输送水平。加强电力系统调峰能力建设，继续实施煤电机组调峰灵活性改造，加快龙头水库、抽水蓄能电站、燃气电站和先进储能技术示范项目建设，推动先进储能技术应用。做好全国抽水蓄能电站选点规划及规划调整工作。出台关于提升电力系统调节能力的指导意见，建立健全辅助服务补偿(市场)机制，切实提高电力系统调峰和消纳清洁能源的能力。\r\n', '\r\n\t\u3000\u3000进一步完善电网结构。继续优化主网架布局和结构，深入开展全国同步电网格局论证，研究实施华中区域省间加强方案，加强区域内省间电网互济能力，推进配电网建设改造和智能电网建设，提高电网运行效率和安全可靠性。根据目标市场落实情况，加快西南水电外送通道建设，稳妥推进跨省区电力输送通道建设，推动新疆、青海、四川、陕西等地区电力外送通道前期工作。\r\n', '\r\n\t\u3000\u3000深入推进电力体制改革。持续完善中长期电力交易机制，进一步推进电力辅助服务市场建设，积极稳妥推进电力现货市场建设试点，规范电力市场交易行为，加快推进配售电改革，完善增量配电业务改革试点配套政策，加强售电侧市场规范与引导，提高电力市场化交易比重，进一步降低企业用能成本。以电力体制改革为重点，推动新疆、内蒙古等地区能源综合改革。\r\n', '\r\n\t\u3000\u3000在非化石能源可持续发展工程方面，水电：积极推进已开工水电项目建设，年内计划新增装机规模约600万千瓦。扎实推进具备条件项目的核准建设，年内计划开工建设金沙江拉哇等水电站。\r\n', '\r\n\t\u3000\u3000核电：积极推进已开工核电项目建设，年内计划建成三门1号、海阳1号、台山1号、田湾3号和阳江5号机组，合计新增核电装机约600万千瓦。积极推进具备条件项目的核准建设，年内计划开工6~8台机组。扎实推进一批厂址条件成熟、公众基础好的沿海核电项目前期论证工作。\r\n', '\r\n\t\u3000\u3000风电：稳步推进风电项目建设，年内计划安排新开工建设规模约2500万千瓦，新增装机规模约2000万千瓦。扎实推进部分地区风电项目前期工作，项目规模约2000万千瓦。积极稳妥推动海上风电建设，探索推进上海深远海域海上风电示范工程建设，加快推动分散式风电发展。\r\n', '\r\n\t\u3000\u3000太阳能：稳妥推进光伏发电项目建设，规范促进分布式光伏发电发展。有序推进太阳能热发电示范项目建设，年内计划建成中广核德令哈、首航节能敦煌等示范项目，装机容量约20万千瓦。\r\n', '\r\n\t\u3000\u3000生物质发电：年内计划建成生物质发电装机规模约150万千瓦。\r\n', '\r\n\t\u3000\u3000煤电清洁高效开发利用方面，《意见》表示，全年煤电投产规模较2017年更进一步减少，淘汰高污染、高能耗的煤电机组约400万千瓦。继续深入推进煤电机组超低排放和节能改造提速扩围工作，2018年完成中部地区具备条件煤电机组超低排放和节能改造，推进西部地区煤电机组超低排放和节能改造，促进煤电清洁高效发展。\r\n', '\r\n\t\u3000\u3000电力基础设施建设工程方面。跨省跨区输电通道：年内计划建成内蒙古上海庙—山东临沂±800千伏特高压直流、新疆准东—华东皖南±1100千伏特高压直流等输电通道，新增输电能力2200万千瓦。扎实推进具备条件项目的核准建设，年内力争开工建设张北柔性直流试验示范工程、乌东德送电广东广西柔性直流、四川水电外送第四回直流等输电通道。扎实推进陕西、青海、新疆、陇彬、白鹤滩水电、金沙江上游水电电力外送输电通道，以及闽粤联网工程前期论证。\r\n', '\r\n\t\u3000\u3000电网：进一步加强电网主干网架，年内计划新增500千伏及以上变电容量(含换流容量)1.7亿千伏安，输电线路2.2万公里。\r\n', '\r\n\t\u3000\u3000同时将继续推进电力体制改革试点。大力推进第一批106个、第二批89个增量配电业务改革试点，启动第三批增量配电业务改革试点工作。推动南方(以广东起步)、蒙西、浙江、山西、山东、福建、四川、甘肃等8个地区电力现货市场建设试点。持续推进电力辅助服务市场专项试点工作。有序推进分布式发电市场化交易试点工作。\r\n']","['\r\n   \r\n   ', '2018-3-11']",6eec03d2-9c4d-11e8-9260-000c29c468ed,['2018年全国非化石能源发电量达到2万亿千瓦时左右']
"['\r\n\t\u3000\u3000国家统计局日前最新统计数据显示，7月份我国共出口化肥254万吨，同比增长5.4%。1-7月累计出口化肥1453万吨，同比下降3%;累计出口金额33.87亿美元，同比下降6.7%。\r\n', '\r\n\t\u3000\u3000进口方面，7月份我国共进口化肥56万吨，同比增长36.6%。1-7月累计进口氯化钾434万吨，同比增长20%。\r\n']","['\r\n   \r\n   ', '2017-9-6']",70531ba2-9c4d-11e8-9260-000c29c468ed,['7月我国出口化肥同比增长5.4%']
"['\r\n\t\u3000\u3000据国家统计局分析，2017年2月中国化学农药总产量为277835吨，与16年同期相比下调4.26%。产量最高的省份有：江苏8726吨，山东40903吨，河南28200吨。同2016年同期相比，江苏上调了14.01%，山东下调了38.33%，河南下调了19.66%。\r\n', '\r\n\t\u3000\u30002017年2月中国除草剂总产量为129438吨，与16年同期相比上调了5.21%，占当期全部化学农药产量的46.59%。2017年2月中国杀虫剂总产量为46188.235吨，与16年同期相比上调了9.31%，占当期全部化学农药产量的16.62%。2017年2月中国杀菌剂总产量为16275吨，与16年同期相比下调了6.98%，占当期全部化学农药产量的5.86%。\r\n', '\r\n\t\u3000\u3000除草剂产量最高的省份有：江苏37932吨，山东26656吨，湖北16449吨。同2016年同期相比，江苏上调了24.33%，山东下调了43.23%，湖北上调了100.16%。\r\n', '\r\n\t\u3000\u3000杀虫剂产量最高的省份有：江苏17579吨，湖北9538吨，山东6887吨。同2016年同期相比，江苏调了14.26%，湖北上调了268.58%，山东上调了14.17%。\r\n', '\r\n\t\u3000\u3000杀菌剂产量最高的省份有：江苏7882吨，安徽3154吨，浙江1919吨。同2016年同期相比，江苏上调了6.6%，安徽下调了28.81%，浙江上调了6.4%。\r\n']","['\r\n   \r\n   ', '2017-3-28']",721abd5a-9c4d-11e8-9260-000c29c468ed,['2017年2月中国化学农药产量统计']
['\r\n\t\u3000\u3000据生意社了解：中国海关数据显示，2016年10月份中国进口碳酸锂1922.04吨，进口2152.71万美元。10月份中国出口碳酸锂83.83吨，出口223.89万美元。\r\n'],"['\r\n   \r\n   ', '2016-12-1']",739f3e44-9c4d-11e8-9260-000c29c468ed,['2016年10月碳酸锂进出口数据统计']
"['\r\n\t\u3000\u3000从国家统计局获悉，2016年7月份，全国工业生产者出厂价格环比上涨0.2%，同比下降1.7%。工业生产者购进价格环比上涨0.3%，同比下降2.6%。1-7月平均，工业生产者出厂价格同比下降3.6%，工业生产者购进价格同比下降4.5%。\r\n', '\r\n\t\u3000\u3000工业生产者价格同比变动情况方面，工业生产者出厂价格中，生产资料价格同比下降2.3%，影响全国工业生产者出厂价格总水平下降约1.7个百分点。其中，采掘工业价格下降5.6%，原材料工业价格下降4.5%，加工工业价格下降1.2%。生活资料价格同比持平(涨跌幅度为0，下同)。其中，食品价格上涨0.2%，衣着价格上涨1.1%，一般日用品价格上涨0.6%，耐用消费品价格下降1.4%。\r\n', '\r\n\t\u3000\u3000据测算，在7月份-1.7%的全国工业生产者出厂价格总水平同比降幅中，去年价格变动的翘尾因素约为-2.7个百分点，新涨价因素约为1.0个百分点。\r\n', '\r\n\t\u3000\u3000工业生产者购进价格中，燃料动力类价格同比下降6.2%，化工原料类价格下降3.6%，建筑材料及非金属类价格下降2.8%，有色金属材料及电线类价格下降2.5%，黑色金属材料类价格下降2.2%。\r\n', '\r\n\t\u3000\u3000工业生产者价格环比变动情况方面，工业生产者出厂价格中，生产资料价格环比上涨0.3%，影响全国工业生产者出厂价格总水平上涨约0.2个百分点。其中，采掘工业价格上涨1.0%，原材料工业价格上涨0.4%，加工工业价格上涨0.1%。生活资料价格环比持平。其中，食品价格下降0.2%，衣着和耐用消费品价格均上涨0.1%，一般日用品价格上涨0.3%。\r\n', '\r\n\t\u3000\u3000工业生产者购进价格中，有色金属材料及电线类价格环比上涨1.7%，纺织原料类价格上涨0.7%，燃料动力类价格上涨0.4%，黑色金属材料类价格上涨0.3%。\r\n']","['\r\n   \r\n   ', '2016-8-23']",739f3e45-9c4d-11e8-9260-000c29c468ed,['工业生产者化工原料类购进价格同比下降3.6%']
"['\r\n\t\u3000\u3000中国物流与采购联合会、国家统计局1日联合发布数据，10月份中国制造业采购经理指数(PMI)为49.8%，与9月持平。\r\n', '\r\n\t\u3000\u300010月份制造业PMI的12个分类指数有升有降，波动幅度较小，表明当前经济运行保持平稳走势。新订单指数为50.3%，较上月上升0.1个百分点，连续两个月略高于50%。生产指数52.2%，微降0.1个百分点。分企业规模看，大型企业企稳，中小型企业继续低于临界点。大型企业PMI为51.0%，比上月微落0.1个百分点，近两个月走势总体平稳;中型企业为48.7%，继续位于临界点以下，但比上月回升0.2个百分点;小型企业为46.6%，连续两个月回落，继续位于临界点以下。\r\n', '\r\n\t\u3000\u300010月份中国非制造业商务活动指数为53.1%，较上月回落0.3个百分点，但仍保持在较高水平，表明非制造业总体增长平稳，市场活动增势稳定。\r\n', '\r\n\t\u3000\u3000非制造业新订单指数连续两个月上升，本月升至51.2%。在需求带动下，中间投入价格指数和收费价格指数双双回升，就业出现小幅回升。业务活动预期指数连续两个月运行在60%以上，创出年内新高。\r\n']","['\r\n   \r\n   ', '2015-11-13']",764414b2-9c4d-11e8-9260-000c29c468ed,['10月中国制造业PMI为49.8%']
"['\r\n\t\u3000\u3000光伏新机——大战略“一带一路”\r\n', '\r\n\t\u3000\u3000今年我国重点推进“一带一路”战略，这是中国光伏行业的新机。\r\n', '\r\n\t\u3000\u3000在新常态下，国家的发展战略就是绿色、低碳、循环发展。实际上这个战略也是在未来“一带一路”的整个共建当中的指导思想。因此，在新的历史背景下建设“一带一路”，必须遵循绿色环保的发展理念，这将为我国光伏行业走出去带来新机遇。\r\n', '\r\n\t\u3000\u3000“一带一路”沿线国家的人口约占全球的60%，经济总量占全球的近30%，随着经济合作规模的扩大和技术的进步，沿线国家的经济增长空间比较大，对新能源的需求也会日益增长。\r\n', '\r\n\t\u3000\u3000光伏发电等新能源产业的发展，将会对沿线国家和地区的生态环境保护、产业发展以及节能减排等产生正效应。能源是“一带一路”建设的先行领域之一。经过几十年的发展，目前光伏发电等新能源的成本正日益接近常规化石能源，预计未来5年，光伏发电的成本还会进一步下降。\r\n', '\r\n\t\u3000\u3000因此，随着“一带一路”推进，国际合作得到深入，我国光伏产业将在技术水平和市场竞争力均可得到新的提升。\r\n', '\r\n\t\u3000\u3000提前布局——光伏企业开拓“一带一路”市场\r\n', '\r\n\t\u3000\u3000目前，中国光伏产能已占到全球70%，在科研领域也全面领先，中国制造依托商业模式和产品服务的创新，正在全面向中国创造转型。转型中的中国光伏企业，正积极探索向全球输出中国先进制造技术和商业理念，推进全球光伏平价上网。恰逢其时，中央提出“一带一路”的战略部署，“一带一路”战略开启了中国光伏企业布局全球的新征程，众多光伏企业在“走出去”方面先行先试，积极开拓“一带一路”市场。\r\n', '\r\n\t\u3000\u3000在这样的形势下，亚洲光伏产业协会、中国光伏行业协会、中国可再生能源学会、中国机电产品进出口商会、中国循环经济协会可再生能源专委会、发改委国际合作中心国际能源研究所联合倡议，集结中国光伏产业链上主流企业，争取各国政府对光伏产业的支持政策、开拓光伏新兴市场，联合中国光伏上下游企业去海外建立光伏产业基地，与各大新兴市场结盟友好型贸易合作伙伴。\r\n', '\r\n\t\u3000\u3000光伏龙头企业协鑫集团先行先试，已成立海外事业部，积极与北美、印度、北非等政府机构沟通，计划成立海外产业园发展基金。\r\n', '\r\n\t\u3000\u3000海润光伏进军印度市场\r\n', '\r\n\t\u3000\u3000颇受关注的海润光伏也不甘示弱，海润光伏先是对外宣称设立海润光伏印度有限公司，主要从事太阳能电池、组件、半成品及其他应用产品的研发等，之后又发公告称，海润光伏印度有限公司、海润光伏新加坡有限公司将在印度新德里合资设立海润光伏电力有限公司主要从事光伏产品生产、销售及研发，光伏项目投资。更引人关注的是，今年5月，印度总理莫迪访问上海并接见19位工商界代表，其名单中海润光伏董事长杨怀进赫然入列，这些足以说明海润光伏早已布局“一带一路”，在印度市场吹响了“翻身仗”集结号。\r\n', '\r\n\t\u3000\u3000此外，光伏产业链上各企业代表天合光能、阿特斯、新日光、阳光电源、江苏爱康、信义光伏、苏州中来光伏等一同签署“光伏产业国际合作宣言”，表示愿意携手共进，一起开拓海外市场，抱团共赢。\r\n', '\r\n\t\u3000\u3000万事俱备——待以更开放的心态大胆走出去\r\n', '\r\n\t\u3000\u3000中国光伏行业过去几年间经历了很多的挑战，也遭受了很多质疑。经历3-4年的挑战或洗牌后，中国的光伏企业在品牌、标准上，皆站在了世界领先地位。\r\n', '\r\n\t\u3000\u3000有一些国家的企业，由于技术、管理、投资遇到了困难。神之石被淘汰，但是中国光伏行业领先地位没有改变。“一带一路”上大规模使用太阳能是一个基础，因为中国光伏有科技和产业的支撑。因此，光伏行业是中国新常态下“一带一路”发展重要的支撑，中国光伏未来会走向千家万户，走向沙漠，走向所有人，每个人和光伏联系起来。\r\n', '\r\n\t\u3000\u3000“一带一路”途径国家的发展需要能源，需要基础建设，需要技术，需要人才，需要资本，而中国已经累积了这样的能力和实力。中国企业，特别是作为王牌制造业代表的光伏企业，正在加快走出去步伐，那些国家有需求，有市场，有潜力，国内企业就要充分地利用可得的资源，以更开放的心态大胆走出去。\r\n']","['\r\n   \r\n   ', '2015-8-13']",779096ec-9c4d-11e8-9260-000c29c468ed,['“一带一路” 中国光伏再迎出国热']
"['\u3000\u3000康菲石油日前表示，已经停止与中石油在内江地区与中石化在綦江地区的页岩气勘探合作，目前在中国没有正在勘探的项目。此前，美国中型石油公司阿纳达科石油、阿美拉达赫斯等已经宣布退出中国页岩气上游产业。而壳牌、雪佛龙等也曾传出在华页岩气项目受阻的消息。业内认为，由于不看好未来前景，在国际油价持续低迷、勘探风险加大的背景下，国际石油巨头们正加速撤离中国页岩气市场。', '\u3000\u3000康菲中止中国页岩气勘探', '\u3000\u3000康菲石油表示，停止同中石油及中石化在页岩气勘探上的合作，主要是出于商业上的考虑，确保把资金和资源投入到具有最佳商业可行性的项目上。', '\u3000\u3000据了解，康菲石油曾于2012年与中石化签订了40.47万公顷綦江区块的联合研究协议进行页岩气的勘探开发研究，随后，在2013年2月，康菲石油又与中石油签订了20.23万公顷的内江-大足区块的产量分成合同。对于康菲石油停止勘探国内页岩气项目，北京商报记者昨日联系了中石油、中石化，但是截至记者发稿时仍没有得到回复。', '\u3000\u3000厦门大学中国能源经济研究中心主任林伯强指出，康菲石油的停止勘探并不会对中石油、中石化产生实质影响，首先，康菲石油跟中石油、中石化的合作只有两个气块，占整体比重非常低;其次，中石油、中石化在页岩气开发方面已经取得了明显进展，一些气块产量已经比较可观，中石油、中石化的页岩气开发不会因为康菲石油的退出就停下来。', '\u3000\u30002014年以来，中石油在页岩气方面的投入已经超过了100亿元人民币，今年页岩气产量将达到26亿立方米。7月7日，中石化宣布涪陵页岩气田钻井总数突破百万米，日产气能力突破千万方，页岩气商业开发取得阶段性成果。', '\u3000\u3000国际巨头纷纷退出页岩气业务', '\u3000\u3000事实上，不仅是中国市场，目前国际石油公司也正在加快退出各国的页岩气业务。6月初，康菲石油宣布，因勘探结果不理想而结束在波兰的页岩气勘探工作。3月，因能源价格过低，壳牌宣布退出南非页岩气项目;2月，法国道达尔公司宣布暂停在美国的所有页岩气投资。', '\u3000\u3000“页岩气的竞争对手是天然气，而天然气价格跟石油价格是联动的，目前石油价格很低，间接拉动了天然气价格走低。在这种情况下，页岩气的成本明显过高，不具备竞争力。如果石油价格维持在50美元一桶，页岩气根本没有存在的必要。”林伯强说。', '\u3000\u3000自2014年6月20日以来，受需求下降、美元升值、地缘政治纷争、石油输出国组织OPEC产量及美国页岩气油产量增加等影响，国际油价断崖式下跌。截至今年5月，国际油价虽略有回升，但仍徘徊于每桶60-65美元的低位区。', '\u3000\u3000某行业分析师认为，页岩气项目本身就是一个烧钱的行业，在国际油价持续下挫的当前，新兴能源的替代优势减弱，国际石油公司退出页岩气勘探也在情理之中。但这并不代表永久的退出，如果国际油价反弹，时机成熟，这些国际石油公司仍会继续开发页岩气。', '\u3000\u3000中国页岩气开采遇冷', '\u3000\u3000虽然中石油、中石化在页岩气开发方面进展如火如荼，但是也难掩国内页岩气开发遇冷的事实。2012年、2013年国土资源部相继推出了全国页岩气一、二轮区块勘探权招标，第三轮页岩气区块招标却迟迟没有召开。', '\u3000\u30002014年11月3日，国土资源部官方信息显示，在首批两个页岩气招标区块探矿权勘查期满处置结果中，中国石油化工股份有限公司和河南省煤层气开发利用有限公司因未完成承诺的勘查投入比例，分别缴纳违约金约800万元和600万元，并被核减勘查区块面积。', '\u3000\u3000某行业分析师坦言，国内目前在页岩气进行的投入和产出并不乐观，国内已经进行了两轮页岩气招标，但实际上也就是中石化稍有成就，出现了涪陵示范区这样的试点，其他企业多数没有太多的产量。而且由于勘探投入不足还遭到了处罚，所以页岩气在中国的前景打了折扣。', '\u3000\u3000国家能源局在日前召开的“十三五”能源规划会议上也下调了2020年我国页岩气产量，即到2020年页岩气和煤层气产量均达到300亿立方米，此次规划目标产量下调了一半。', '\u3000\u3000在该分析师看来，如果油价持续低迷不振，国家没有很可观的政策扶持，即使部分企业有意愿加入，基于长线的资金面考虑，也很难实施。整体来看，页岩气开发遇冷趋势是必然的。']","['\r\n   \r\n   ', '2015-7-24']",78cf22d0-9c4d-11e8-9260-000c29c468ed,['石油天然气价格持续低迷 外资退出中国页岩气市场']
['\r\n\t\u3000\u3000据海关统计，2015年1月，29032200项下三氯乙烯出口量为1527.624吨，同比上升42.75%;出口平均单价为871.774美元/吨，同比下降1.94%。\r\n'],"['\r\n   \r\n   ', '2015-3-2']",7a749c00-9c4d-11e8-9260-000c29c468ed,['2015年1月三氯乙烯出口1527.624吨']
